"Subj","Block","Trial","RT","Cond","stimuli","direction","AlignedVAR","UnalignedVAR"
"1","1","1","922","Animal","cat","Right",132.171449918906,35.6138374679763
"1","1","1","872","Animal","parrot01","Right",2838.40968481036,860.993835187948
"1","1","1","956","Animal","bassethound","Right",66.0536102181829,10.3057106385876
"1","1","1","1054","Animal","skunk","Right",2363.83744144584,1416.24786328909
"1","1","1","905","Animal","polarbear","Right",2003.83103736785,595.735004060946
"1","1","1","905","Animal","redfox","Left",2106.79989851038,589.924273496276
"1","1","1","1123","Animal","cedarwaxwing","Right",49.6429208576959,30.9969563533721
"1","1","1","958","Animal","duck01","Left",1637.62301794857,449.146527153043
"1","1","1","955","Animal","saintbernard","Left",105.825321752474,16.4676005751762
"1","1","1","955","Animal","dromedary","Right",1218.45684664497,322.150601428914
"1","1","1","1207","Animal","rooster","Right",2066.61150917058,566.412440169636
"1","1","1","941","Animal","greyhound","Left",1332.57115129416,346.532625442188
"1","1","1","840","Animal","greathornowl","Right",907.144152554099,229.762767967652
"1","1","1","838","Animal","zebra","Left",63.1870434418561,23.7773562900094
"1","1","1","4038","Animal","asianelephant","Left",120.91678095439,518.789118025706
"1","1","1","905","Animal","clownfish","Left",2125.23732366102,577.796663263752
"1","1","1","1056","Animal","greywolf","Left",2202.02835248597,580.384456652384
"1","1","1","909","Animal","bluejay","Left",1984.85443101937,577.781991487276
"1","1","1","973","Animal","cow","Right",888.611109910138,269.268359757822
"1","1","1","957","Animal","jackrabbit","Left",53.1869259404441,6.89038296905714
"1","1","1","871","Animal","rockbass","Right",2922.97938513438,747.390706922536
"1","1","1","1056","Animal","tortoise01","Right",2676.71582569597,774.343136059554
"1","1","1","938","Animal","sandbarshark","Right",55.7844940862078,29.6290122123655
"1","1","1","1521","Animal","swordfish","Left",700.050461215031,342.307784592162
"1","1","1","1005","Animal","tiger02","Left",3632.10067749244,1132.45915341132
"1","1","1","1006","Animal","seal","Right",919.121703902834,290.191016227938
"1","1","1","2205","Tool","woodenspoon","Left",1219.94551908343,983.498377627237
"1","1","1","3155","Tool","chisel02b","Right",710.533631096525,282.956747214543
"1","1","1","1474","Tool","ladle02a","Right",254.719555135424,42.0652204189045
"1","1","1","908","Tool","boxcutter03a","Left",2528.60377349131,930.577111592904
"1","1","1","1455","Tool","peeler01","Left",1423.79511198844,543.758836192863
"1","1","1","3623","Tool","bottleopener01","Right",610.43133709277,144.689544535204
"1","1","1","1506","Tool","curlingiron01a","Right",831.265248109526,240.425316880381
"1","1","1","939","Tool","machete","Right",2323.29497687177,675.372196811961
"1","1","1","1089","Tool","icescraper","Left",2276.37591665082,693.119240369316
"1","1","1","905","Tool","huntingknife","Left",2757.01356950888,851.433280037982
"1","1","1","1223","Tool","lintbrush","Left",2555.35344617688,753.205499859746
"1","1","1","1089","Tool","umbrella04","Right",1067.60227213158,945.303396828398
"1","1","1","955","Tool","toiletbrush","Left",62.2191961021246,27.900614240834
"1","1","1","1404","Tool","squeegee01b","Right",235.540921042123,86.3058279136939
"1","1","1","1090","Tool","magnifyingglass01b","Right",986.234639173829,47.5159680624099
"1","1","1","923","Tool","flashlight02b","Right",200.965226048252,54.507457120313
"1","1","1","839","Tool","breadknife","Left",3964.23974432099,1399.55544069375
"1","1","1","1688","Tool","paintroller01","Left",278.712979069075,25.7776561134106
"1","1","1","955","Tool","adjustablewrench01b","Right",102.402922987787,19.9553369237499
"1","1","1","1289","Tool","oneholepunch","Right",189.222271478484,63.7621357348065
"1","1","1","1021","Tool","metalbrush","Left",1571.5283618233,156.058525381114
"1","1","1","888","Tool","gavel","Left",293.134491356474,105.785243941879
"1","1","1","1422","Tool","file","Left",353.918426827067,157.006523914592
"1","1","1","1188","Tool","racquetballracket","Left",697.954303453947,252.622638515886
"1","1","1","1122","Tool","fryingpan02a","Right",1348.97787841631,582.038806994772
"1","1","1","1005","Tool","sieve01b","Left",985.969203060662,390.143934846502
"1","1","1","987","Tool","hammer01","Right",138.149543699877,12.5886756189654
"1","1","1","872","Tool","mallet01b","Left",2922.51409156211,1093.18940218609
"1","1","1","971","Tool","handbrush02","Right",42.9581748569711,10.1108741359688
"1","1","1","1089","Tool","cleaver02","Left",2790.76845078565,780.630123897323
"1","1","1","1873","Tool","spatula04","Right",644.403772929835,124.12650943745
"1","1","1","4423","Tool","servingspoon01","Right",237.603756659627,89.220877361493
"1","1","1","1075","Tool","barbecuelighter","Left",337.209646366729,114.016614975572
"1","1","1","1372","Tool","electrictoothbrush01c","Left",326.067995642675,281.581927591054
"1","1","1","992","Tool","tongs01b","Left",928.330470170056,301.111008137407
"1","1","1","1222","Tool","screwdriver04b","Right",461.407363349242,128.413763578493
"1","1","1","871","Tool","whisk","Right",2299.47482032707,893.081085477069
"1","1","1","1156","Tool","badmintonracket","Left",497.447487814652,234.922287921735
"1","1","1","1440","Tool","comb02a","Right",153.091039234831,88.0894207371994
"1","1","1","1221","Tool","paintbrush01","Right",438.209408519548,294.962628713897
"1","1","1","873","Tool","spatula03","Left",2326.2435669816,1747.55843993594
"1","1","1","4522","Tool","garlicpress02a","Left",206.714383751239,444.122348512795
"1","1","1","1039","Tool","lintroller","Left",512.740451570769,242.092115940514
"1","1","1","956","Tool","pipewrench","Right",225.031067115828,142.408822632209
"1","1","1","922","Tool","pliers02b","Left",379.921781070049,99.3251524966596
"10","10","10","1955","Tool","tongs01b","Right",612.567993795145,497.900672870256
"10","10","10","1839","Tool","magnifyingglass01b","Left",32.3838909905329,10.5205782784779
"10","10","10","5","Tool","paintroller01","Right",1401.76355916442,1077.50026414632
"10","10","10","1872","Tool","pipewrench","Left",14.6601749444748,20.5863248329166
"10","10","10","1107","Tool","adjustablewrench01b","Left",99.5107135019987,63.5792902833878
"10","10","10","2522","Tool","gavel","Right",96.2401722929801,38.2604135760481
"10","10","10","1239","Tool","spatula03","Right",15.3264819178322,26.4567687950649
"10","10","10","2238","Tool","ladle02a","Left",36.1322446300457,12.5634067667544
